run_id,optimizer,seed,fitness,physical_fitness,fuel_cost_usd,carbon_cost_usd,shore_cost_usd,schedule_cost_usd,penalty_value,is_feasible
PSO_seed_1011,PSO,1011,3.4299467258817096,3.4299467258817096,114205.48,26355.11,8785.04,0.0,0.0,True
PSO_seed_1012,PSO,1012,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1013,PSO,1013,3.408380285938502,3.408380285938502,114332.86,26384.51,8794.84,0.0,0.0,True
PSO_seed_1014,PSO,1014,20002.76203323091,2.762033230907253,91065.66,21015.15,7005.05,0.0,20000.0,True
PSO_seed_1015,PSO,1015,3.6780018732422413,3.6780018732422413,138876.54,32048.43,10682.81,0.0,0.0,True
PSO_seed_1016,PSO,1016,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1017,PSO,1017,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1018,PSO,1018,20001.16940849068,1.1694084906802755,41007.3,9463.22,3154.41,0.0,20000.0,True
PSO_seed_1019,PSO,1019,3.425568449079205,3.425568449079205,116200.96,26815.61,8938.54,0.0,0.0,True
PSO_seed_1020,PSO,1020,20001.165651596664,1.1656515966646952,40801.49,9415.73,3138.58,0.0,20000.0,True
PSO_seed_1021,PSO,1021,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1022,PSO,1022,3.449195285094273,3.449195285094273,115660.47,26690.88,8896.96,0.0,0.0,True
PSO_seed_1023,PSO,1023,3.8795225467024035,3.8795225467024035,141907.96,32747.99,10916.0,0.0,0.0,True
PSO_seed_1024,PSO,1024,3.411940859831496,3.411940859831496,114844.47,26502.57,8834.19,0.0,0.0,True
PSO_seed_1025,PSO,1025,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1026,PSO,1026,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1027,PSO,1027,3.411654675479569,3.411654675479569,114838.83,26501.27,8833.76,0.0,0.0,True
PSO_seed_1028,PSO,1028,3.6681933935494175,3.6681933935494175,137789.76,31797.64,10599.21,0.0,0.0,True
PSO_seed_1029,PSO,1029,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1030,PSO,1030,3.460807810008527,3.460807810008527,116918.83,26981.27,8993.76,0.0,0.0,True
GA_seed_1001,GA,1001,20002.936847972003,2.936847972002705,96203.27,22200.76,7400.25,0.0,20000.0,True
GA_seed_1002,GA,1002,3.398074092105878,3.398074092105878,112150.81,25880.96,8626.99,0.0,0.0,True
GA_seed_1003,GA,1003,4.120066577155508,4.120066577155508,162770.42,37562.4,12520.8,0.0,0.0,True
GA_seed_1004,GA,1004,3.383532069604,3.383532069604,111738.58,25785.83,8595.28,0.0,0.0,True
GA_seed_1005,GA,1005,4.14761990395094,4.14761990395094,166552.48,38435.19,12811.73,0.0,0.0,True
GA_seed_1006,GA,1006,4.13006236956803,4.13006236956803,164958.13,38067.26,12689.09,0.0,0.0,True
GA_seed_1007,GA,1007,4.119036241980908,4.119036241980908,162709.69,37548.39,12516.13,0.0,0.0,True
GA_seed_1008,GA,1008,20002.93688149157,2.936881491569281,96202.88,22200.66,7400.22,0.0,20000.0,True
GA_seed_1009,GA,1009,3.860223215789352,3.860223215789352,141337.18,32616.27,10872.09,0.0,0.0,True
GA_seed_1010,GA,1010,20001.679703820417,1.67970382041827,71285.37,16450.47,5483.49,0.0,20000.0,True
GA_seed_1011,GA,1011,3.67062294354155,3.67062294354155,136905.65,31593.61,10531.2,0.0,0.0,True
GA_seed_1012,GA,1012,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
GA_seed_1013,GA,1013,20002.960931936414,2.9609319364130644,110193.4,25429.25,8476.42,0.0,20000.0,True
GA_seed_1014,GA,1014,20002.959854343684,2.9598543436834728,110134.3,25415.61,8471.87,0.0,20000.0,True
GA_seed_1015,GA,1015,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
GA_seed_1016,GA,1016,20002.706596101125,2.7065961011253763,87584.65,20211.84,6737.28,0.0,20000.0,True
GA_seed_1017,GA,1017,3.631183112849377,3.631183112849377,133786.39,30873.78,10291.26,0.0,0.0,True
GA_seed_1018,GA,1018,3.389799428051238,3.389799428051238,111590.7,25751.7,8583.9,0.0,0.0,True
GA_seed_1019,GA,1019,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
GA_seed_1020,GA,1020,3.648930975025797,3.648930975025797,135491.36,31267.24,10422.41,0.0,0.0,True
GA_seed_1021,GA,1021,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
GA_seed_1022,GA,1022,3.8667190966699403,3.8667190966699403,141821.55,32728.05,10909.35,0.0,0.0,True
GA_seed_1023,GA,1023,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
GA_seed_1024,GA,1024,3.626688465239081,3.626688465239081,133645.16,30841.19,10280.4,0.0,0.0,True
