experiment_id,run_id,optimizer,seed,fleet_size,dimension,evaluation_budget,evaluations_used,runtime_seconds,fitness,physical_fitness,penalty_value,is_feasible,domain_status,fuel_tonnes,opex_usd,ghg_tonnes,delay_hours,risk_metric,fuel_cost_usd,carbon_cost_usd,shore_cost_usd,schedule_cost_usd,fueleu_penalty_usd,assigned_demands,fuel_decisions,speed_decisions,shore_power_decisions,source_provenance,timestamp,git_commit
EXP-P4-08,DE_seed_1010,DE,1010,3,18,2500,2500,1.5464,163.18616494863605,3.8664531817630747,159.32,True,VALID,226.32,231178.98,638.57,0.03,0.1138,150266.34,34676.85,11558.95,47.8,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 18.94027933647064, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1011,DE,1011,3,18,2500,2500,3.1735,20002.85617160695,2.8561716069507233,20000.0,True,VALID,149.45,147978.02,628.75,0.0,0.0474,96185.72,22196.7,7398.9,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.420274821653774, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1012,DE,1012,3,18,2500,2500,1.5025,4.592061609520647,4.592061609520647,0.0,True,VALID,259.0,262493.21,807.17,0.0,0.2357,170620.59,39373.98,13124.66,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1013,DE,1013,3,18,2500,2500,1.0641,3.822775041402456,3.822775041402456,0.0,True,VALID,208.67,208613.32,773.61,0.0,0.0595,135598.66,31292.0,10430.67,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.095315938623237, 'CPS_Triton': 18.0, 'OSS_Ceto': 14.878223974561418}","{'CPS_Poseidon': True, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1014,DE,1014,3,18,2500,2500,2.4989,613.691255141587,4.940929871873032,608.75,True,VALID,309.82,327947.1,655.81,0.15,0.0395,213165.62,49192.07,16397.36,232.37,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 18.603359294693497, 'CPS_Triton': 17.387067652158102, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1015,DE,1015,3,18,2500,2500,3.992,3.772513638630188,3.772513638630188,0.0,True,VALID,195.37,192021.46,804.91,0.0,0.2133,124813.95,28803.22,9601.07,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1016,DE,1016,3,18,2500,2500,1.1861,5.853352562442286,5.853352562442286,0.0,True,VALID,361.77,386542.99,740.69,0.0,0.258,251252.94,57981.45,19327.15,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.65518362248726, 'CPS_Triton': 15.620852024648313, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1017,DE,1017,3,18,2500,2500,6.0056,3.492724430850548,3.492724430850548,0.0,True,VALID,182.82,179794.75,748.84,0.0,0.1379,116866.59,26969.21,8989.74,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.197830168538445, 'CPS_Triton': 16.133073117045367, 'OSS_Ceto': 13.931719479365475}","{'CPS_Poseidon': True, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1018,DE,1018,3,18,2500,2500,1.1412,6.202618700769963,6.202618700769963,0.0,True,VALID,380.04,402947.94,771.68,0.0,0.4372,261916.16,60442.19,20147.4,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1019,DE,1019,3,18,2500,2500,1.3149,20003.368619077974,3.3686190779753558,20000.0,True,VALID,178.78,177554.79,662.78,0.0,0.252,115410.61,26633.22,8877.74,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.787831791023876, 'CPS_Triton': 10.350719094719953, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1020,DE,1020,3,18,2500,2500,5.3805,3.5261898718214884,3.5261898718214884,0.0,True,VALID,187.19,185082.49,768.07,0.0,0.0249,120303.62,27762.37,9254.12,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.39431088447441, 'CPS_Triton': 18.0, 'OSS_Ceto': 13.343845961539822}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1021,DE,1021,3,18,2500,2500,3.3243,3.813830830671301,3.813830830671301,0.0,True,VALID,197.68,193141.74,813.47,0.0,0.2262,125542.13,28971.26,9657.09,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 18.0, 'OSS_Ceto': 13.308580157147599}","{'CPS_Poseidon': True, 'CPS_Triton': False, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1022,DE,1022,3,18,2500,2500,1.5948,13250.407451101886,4.680358642880437,13245.73,True,VALID,259.73,269878.57,791.39,6.19,0.2437,175421.07,40481.79,13493.93,9281.74,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 20.526185271120116, 'CPS_Triton': 13.317579441874067, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1023,DE,1023,3,18,2500,2500,0.7894,96.01776919920593,3.8304576992360877,92.19,True,VALID,215.13,219002.86,712.03,0.02,0.0775,142351.86,32850.43,10950.14,27.66,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.021826998012976, 'CPS_Triton': 17.84127076123862, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1024,DE,1024,3,18,2500,2500,3.0927,3.3973989989470406,3.3973989989470406,0.0,True,VALID,177.94,172167.17,730.63,0.0,0.158,111908.66,25825.08,8608.36,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.16927368921185, 'CPS_Triton': 18.0, 'OSS_Ceto': 12.154537849143875}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1025,DE,1025,3,18,2500,2500,3.4621,3.4426896629779598,3.4426896629779598,0.0,True,VALID,179.54,177725.63,736.45,0.0,0.1434,115521.66,26658.84,8886.28,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.148433797802326, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1026,DE,1026,3,18,2500,2500,4.3284,3.48772254307266,3.48772254307266,0.0,True,VALID,185.11,183037.63,760.32,0.0,0.0233,118974.46,27455.64,9151.88,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.228747465177655, 'CPS_Triton': 18.0, 'OSS_Ceto': 12.725127091297615}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1027,DE,1027,3,18,2500,2500,1.7709,4.262908879774848,4.262908879774848,0.0,True,VALID,242.12,245686.74,787.0,0.0,0.0488,159696.38,36853.01,12284.34,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 20.166161552168543, 'CPS_Triton': 15.949154816659048, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': True, 'CPS_Triton': False, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1028,DE,1028,3,18,2500,2500,1.4544,3.7059032968979153,3.7059032968979153,0.0,True,VALID,191.4,189025.82,787.81,0.0,0.2206,122866.78,28353.87,9451.29,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.801317762436994, 'CPS_Triton': 15.64298088316695, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1029,DE,1029,3,18,2500,2500,4.0623,3.7737625167162125,3.7737625167162125,0.0,True,VALID,203.68,202016.21,755.1,0.0,0.1622,131310.53,30302.43,10100.81,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.153804929403954, 'CPS_Triton': 17.15779547986596, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,DE_seed_1030,DE,1030,3,18,2500,2500,1.2289,3.760201638630188,3.760201638630188,0.0,True,VALID,195.37,189969.46,804.91,0.0,0.2133,123480.15,28495.42,9498.47,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,PSO_seed_1001,PSO,1001,3,18,2500,2500,1.9895,23852.043716086937,2.707403445161417,23849.34,True,VALID,140.93,138465.4,578.52,1.66,0.1005,90002.51,20769.81,6923.27,2486.33,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 17.54315371500752, 'CPS_Triton': 17.253116211130173, 'OSS_Ceto': 4.0}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,PSO_seed_1002,PSO,1002,3,18,2500,2500,2.1422,51000.0,1000.0,50000.0,False,VALID,200.0,250000.0,750.0,10.0,0.0,160000.0,40000.0,10000.0,15000.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 18.531870866157714, 'CPS_Triton': 6.0, 'OSS_Ceto': 9.690053988643884}","{'CPS_Poseidon': True, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
