algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
NSGA_III,1001,1.0,True,4.8726,0.0,244.9,255248.23,648.05,0.0,1901,1141,2498,7,240.97,249564.83,618.2,1.198,2500
NSGA_III,1002,1.0,True,4.8809,0.0,245.97,255592.63,648.81,0.0,2035,1011,2497,3,242.25,250149.47,618.73,1.311,2500
NSGA_III,1003,1.0,True,4.9258,0.0,250.0,255595.2,654.15,0.0,1913,730,2495,3,247.59,251554.75,629.18,1.323,2500
NSGA_III,1004,1.0,True,4.3201,0.0,206.58,210680.33,658.92,0.0,1852,1590,2499,10,203.03,205420.33,618.02,1.267,2500
NSGA_III,1005,1.0,True,4.8885,0.0,246.14,255769.89,649.41,0.0,1952,818,2494,2,242.68,250612.42,648.05,1.234,2500
NSGA_III,1006,1.0,True,4.457,0.0,208.23,210374.68,752.04,0.0,1935,637,2497,8,208.23,209318.2,701.44,1.209,2500
NSGA_III,1007,1.0,True,4.3259,0.0,206.85,210940.99,660.03,0.0,1472,1382,2495,11,203.29,205182.41,630.86,0.974,2500
NSGA_III,1008,1.0,True,4.0715,0.0,183.0,180148.48,759.96,0.0,2061,1772,2499,6,182.92,179506.13,717.89,1.28,2500
NSGA_III,1009,1.0,True,4.0244,0.0,177.48,175702.51,736.96,0.0,1687,1105,2500,15,177.38,174860.09,631.1,1.125,2500
NSGA_III,1010,1.0,True,4.5845,0.0,216.04,219663.95,726.65,0.0,2001,1531,2497,8,216.04,218875.79,618.5,1.318,2500
NSGA_III,1011,1.0,True,4.5875,0.0,216.21,220704.17,726.75,0.0,1738,1536,2500,16,216.0,219648.4,619.57,1.17,2500
NSGA_III,1012,1.0,True,4.6074,0.0,218.56,219970.58,732.63,0.0,2039,994,2498,5,218.41,219894.92,693.25,1.323,2500
NSGA_III,1013,1.0,True,4.3235,0.0,206.76,210829.45,660.62,0.0,1870,771,2496,8,206.66,210722.23,619.68,1.165,2500
NSGA_III,1014,1.0,True,4.0359,0.0,177.99,176186.01,739.15,0.0,1733,1419,2500,14,177.99,175088.45,631.63,1.133,2500
NSGA_III,1015,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2496,0,,,,0.268,2500
NSGA_III,1016,1.0,True,4.5776,0.0,215.82,219458.54,725.72,0.0,1906,1494,2495,4,215.79,219425.25,618.08,1.209,2500
NSGA_III,1017,1.0,True,4.0449,0.0,179.79,175001.68,741.2,0.0,1995,1337,2498,2,179.79,175001.68,711.35,1.233,2500
NSGA_III,1018,1.0,True,4.0509,0.0,181.05,174208.79,743.49,0.0,1866,890,2498,8,181.05,174208.79,700.47,1.248,2500
NSGA_III,1019,1.0,True,4.0251,0.0,177.58,175802.24,737.42,0.0,1792,1562,2500,24,177.5,174141.6,629.74,1.211,2500
NSGA_III,1020,1.0,False,57203.7749,57199.31,202.98,236972.85,644.28,27.53,23,0,2500,0,,,,0.292,2500
NSGA_III,1021,1.0,True,4.9347,0.0,249.78,256490.09,655.82,0.0,1768,415,2494,2,244.84,249730.86,655.82,1.268,2500
NSGA_III,1022,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2496,0,,,,0.27,2500
NSGA_III,1023,1.0,True,4.9638,0.0,254.8,260115.77,676.36,0.0,2049,1188,2490,5,250.42,254752.73,676.12,1.3,2500
NSGA_III,1024,1.0,True,4.3327,0.0,207.79,210666.17,661.67,0.0,2096,1194,2495,3,203.87,205017.8,632.36,1.338,2500
NSGA_III,1025,1.0,True,4.8786,0.0,244.92,255210.61,649.69,0.0,1902,1031,2495,9,241.39,249352.79,619.34,1.2,2500
NSGA_III,1026,1.0,True,4.0766,0.0,182.73,180707.95,759.74,0.0,1771,1579,2500,33,182.73,179180.51,640.87,1.133,2500
NSGA_III,1027,1.0,True,4.3245,0.0,206.71,210804.68,659.52,0.0,1383,957,2499,15,203.19,205183.23,620.94,0.939,2500
NSGA_III,1028,1.0,True,4.9487,0.0,251.81,261272.77,671.17,0.0,2079,792,2498,3,251.81,261272.77,639.54,1.293,2500
NSGA_III,1029,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2499,0,,,,0.272,2500
NSGA_III,1030,1.0,True,4.9057,0.0,247.03,256748.26,650.11,0.0,1978,833,2498,7,242.65,250590.74,620.38,1.233,2500
Hybrid_QI_A5,1001,1.0,True,4.1247,0.0,186.71,179608.28,767.79,0.0,241,32,2500,6,185.89,179608.28,669.12,0.878,2500
Hybrid_QI_A5,1002,1.0,True,4.1447,0.0,188.34,181197.4,774.02,0.0,234,56,2500,6,188.34,181197.4,655.7,0.865,2500
Hybrid_QI_A5,1003,1.0,True,4.2076,0.0,188.31,185277.01,781.49,0.0,238,43,2500,6,188.31,184376.49,674.32,0.854,2500
Hybrid_QI_A5,1004,1.0,True,4.1291,0.0,184.22,182146.14,765.72,0.0,264,79,2500,7,184.22,182146.14,649.6,0.852,2500
Hybrid_QI_A5,1005,1.0,True,4.0947,0.0,181.73,176895.3,748.53,0.0,232,47,2500,7,181.73,176895.3,670.15,0.852,2500
Hybrid_QI_A5,1006,1.0,True,4.2015,0.0,188.55,185079.05,782.41,0.0,214,43,2500,5,188.55,184918.37,687.07,0.824,2500
Hybrid_QI_A5,1007,1.0,True,4.1214,0.0,182.86,178008.53,752.75,0.0,231,39,2500,2,182.86,178008.53,668.62,0.902,2500
Hybrid_QI_A5,1008,1.0,True,4.5423,0.0,208.56,208834.39,780.66,0.0,229,21,2500,5,208.56,208834.39,660.73,0.941,2500
Hybrid_QI_A5,1009,1.0,True,4.1768,0.0,187.89,184483.12,778.81,0.0,272,86,2500,15,187.38,183633.35,658.58,0.887,2500
Hybrid_QI_A5,1010,1.0,True,4.1543,0.0,187.21,182102.28,772.51,0.0,262,47,2500,6,186.75,182102.28,683.97,0.955,2500
Hybrid_QI_A5,1011,1.0,True,4.0676,0.0,180.63,175826.53,744.41,0.0,248,15,2500,2,180.63,175826.53,667.58,0.913,2500
Hybrid_QI_A5,1012,1.0,True,4.2188,0.0,188.86,185778.62,784.38,0.0,233,31,2500,6,188.86,185278.79,695.98,0.892,2500
Hybrid_QI_A5,1013,1.0,True,4.1552,0.0,186.93,183609.33,773.76,0.0,202,42,2500,8,186.93,183609.33,706.99,0.933,2500
Hybrid_QI_A5,1014,1.0,True,4.2296,0.0,191.49,184973.16,789.41,0.0,269,34,2500,6,190.93,184841.67,704.58,0.916,2500
Hybrid_QI_A5,1015,1.0,True,4.2304,0.0,188.7,186582.28,781.44,0.0,199,36,2500,5,188.7,186582.28,671.87,0.909,2500
Hybrid_QI_A5,1016,1.0,True,4.2482,0.0,191.09,186713.07,791.86,0.0,211,22,2500,4,191.09,186713.07,662.68,0.883,2500
Hybrid_QI_A5,1017,1.0,True,4.1984,0.0,188.71,185210.46,783.35,0.0,219,21,2500,6,188.71,185210.46,661.24,0.865,2500
Hybrid_QI_A5,1018,1.0,True,4.4352,0.0,195.62,188161.0,804.91,0.0,252,49,2500,8,193.86,188161.0,659.02,0.857,2500
Hybrid_QI_A5,1019,1.0,True,4.117,0.0,186.34,180070.16,767.06,0.0,218,32,2500,4,186.34,180070.16,670.04,0.924,2500
Hybrid_QI_A5,1020,1.0,True,4.0828,0.0,182.16,177274.31,751.13,0.0,241,58,2500,5,182.16,177274.31,639.93,1.028,2500
Hybrid_QI_A5,1021,1.0,True,4.1772,0.0,188.43,182434.43,777.46,0.0,255,18,2500,3,188.43,182434.43,699.73,1.137,2500
Hybrid_QI_A5,1022,1.0,True,4.1559,0.0,188.61,182277.71,775.8,0.0,244,34,2500,3,188.61,182277.71,696.42,1.159,2500
Hybrid_QI_A5,1023,1.0,True,4.0898,0.0,180.4,177758.05,747.1,0.0,206,34,2500,4,180.36,177710.11,642.77,1.125,2500
Hybrid_QI_A5,1024,1.0,True,4.1541,0.0,187.16,181221.82,771.87,0.0,223,43,2500,6,187.16,181221.82,696.37,1.066,2500
Hybrid_QI_A5,1025,1.0,True,4.1188,0.0,183.74,178020.67,755.94,0.0,241,73,2500,4,183.74,178020.67,657.9,1.114,2500
Hybrid_QI_A5,1026,1.0,True,4.4548,0.0,195.62,191839.61,812.4,0.0,240,33,2500,5,195.62,191839.61,699.81,1.141,2500
Hybrid_QI_A5,1027,1.0,True,4.2033,0.0,187.56,185369.96,779.13,0.0,227,24,2500,3,187.56,185369.96,716.41,1.174,2500
Hybrid_QI_A5,1028,1.0,True,4.2219,0.0,188.76,184520.39,781.23,0.0,259,51,2500,5,188.76,184520.39,655.2,1.083,2500
Hybrid_QI_A5,1029,1.0,True,4.2014,0.0,188.88,183751.68,778.71,0.0,235,40,2500,5,188.88,183751.68,689.87,0.925,2500
Hybrid_QI_A5,1030,1.0,True,4.0438,0.0,179.22,176173.08,742.4,0.0,231,43,2500,4,179.22,176173.08,666.4,0.936,2500
