seed,optimizer,best_loss,best_physical_objective,penalty,penalty_fraction,total_evaluations,runtime_seconds,speed_knots,cargo_tonnes,fuel_type,operating_mode,use_shore_power,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,voyage_duration_hours,schedule_delay_hours,uncertainty_risk_tonnes,cii_rating,fueleu_compliant,domain_status,is_feasible,convergence_history
470,DE,3.2758265743937365,3.2758,0.0,0.0,2500,278.23,18.59,121.2,bio_methanol,transit,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.871989019623343, 3.4013780489230476, 3.4013780489230476, 3.3339146149453853, 3.3021035756882604, 3.3021035756882604, 3.281588067361196, 3.276901567571592, 3.276901567571592, 3.276901567571592, 3.276901567571592, 3.276901567571592, 3.276901567571592, 3.276901567571592, 3.2764805707553055, 3.2764805707553055, 3.2764805707553055, 3.2764805707553055, 3.2764805707553055, 3.2764805707553055, 3.275963084790127, 3.275963084790127, 3.275963084790127, 3.2758599742019596, 3.2758599742019596, 3.2758599742019596, 3.2758487025937155, 3.2758487025937155, 3.2758487025937155, 3.2758487025937155, 3.2758487025937155, 3.2758487025937155, 3.2758419320979737, 3.2758419320979737, 3.2758281202364383, 3.2758281202364383, 3.2758281202364383, 3.2758281202364383, 3.2758269171106216, 3.2758269171106216, 3.275826835330719, 3.275826835330719, 3.275826835330719, 3.275826835330719, 3.275826835330719, 3.275826835330719, 3.275826835330719, 3.275826731918503, 3.2758265743937365, 3.2758265743937365]"
507,DE,3.275826876018104,3.2758,0.0,0.0,2500,279.679,18.59,287.2,bio_methanol,transit,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.3118177219610523, 3.3118177219610523, 3.3118177219610523, 3.3118177219610523, 3.307299087922958, 3.307299087922958, 3.2858033379440346, 3.2858033379440346, 3.2858033379440346, 3.2791186222828848, 3.2791186222828848, 3.2791186222828848, 3.278344233297247, 3.278344233297247, 3.2773008253083287, 3.2768862113279127, 3.2767456022945254, 3.2767456022945254, 3.2767456022945254, 3.2762683790593026, 3.275841832092369, 3.275841832092369, 3.275841832092369, 3.275841832092369, 3.275841832092369, 3.275834335058817, 3.275834335058817, 3.275834335058817, 3.275834335058817, 3.275834335058817, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.27582813544028, 3.2758279615826016, 3.2758279615826016, 3.2758271909431205, 3.2758268760181037, 3.2758268760181037, 3.2758268760181037]"
544,DE,3.275826662389022,3.2758,0.0,0.0,2500,284.785,18.59,562.3,bio_methanol,transit,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.3610825128153694, 3.3610825128153694, 3.2823143065299503, 3.2823143065299503, 3.2823143065299503, 3.2823143065299503, 3.2823143065299503, 3.2823143065299503, 3.277288659495852, 3.277288659495852, 3.277288659495852, 3.277288659495852, 3.277288659495852, 3.277288659495852, 3.276855105631047, 3.276855105631047, 3.276855105631047, 3.276737869667044, 3.276737869667044, 3.275856732446508, 3.275856732446508, 3.275856732446508, 3.275856732446508, 3.275856732446508, 3.275851435016608, 3.275851435016608, 3.275851435016608, 3.275851435016608, 3.275851435016608, 3.275851435016608, 3.275851435016608, 3.275851435016608, 3.275830116993357, 3.275830116993357, 3.275830116993357, 3.275830116993357, 3.275830116993357, 3.275830116993357, 3.275830116993357, 3.275827201582859, 3.275827201582859, 3.275827201582859, 3.2758270542572525, 3.2758270542572525, 3.2758268478404005, 3.2758268478404005, 3.2758268478404005, 3.275826722148645, 3.275826717601995, 3.275826662389022]"
581,DE,3.275826646458326,3.2758,0.0,0.0,2500,297.509,18.59,294.3,bio_methanol,transit,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[4.020185877414368, 3.4069957248098053, 3.4069957248098053, 3.3608221466041948, 3.308045406609518, 3.308045406609518, 3.283177998379229, 3.2781178554836776, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758406193865577, 3.2758356381460114, 3.2758356381460114, 3.2758356381460114, 3.2758356381460114, 3.2758356381460114, 3.2758356381460114, 3.2758356381460114, 3.2758356381460114, 3.2758356381460114, 3.275829998434029, 3.2758279433429753, 3.2758270089172026, 3.275826656152922, 3.275826656152922, 3.275826656152922, 3.275826656152922, 3.275826656152922, 3.275826656152922, 3.275826656152922, 3.275826646458326, 3.275826646458326, 3.275826646458326]"
618,DE,3.275826689078967,3.2758,0.0,0.0,2500,299.345,18.59,272.7,bio_methanol,transit,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.343388645692751, 3.343388645692751, 3.343388645692751, 3.3371980008376783, 3.3283634314456982, 3.2946562459676176, 3.2946562459676176, 3.2946562459676176, 3.2946562459676176, 3.2946562459676176, 3.2946562459676176, 3.2946562459676176, 3.2776702748126363, 3.2776702748126363, 3.2776702748126363, 3.2776702748126363, 3.2776702748126363, 3.2776702748126363, 3.2776702748126363, 3.2776702748126363, 3.2776702748126363, 3.2761520477746777, 3.2761520477746777, 3.2761520477746777, 3.27586464477843, 3.27586464477843, 3.27586464477843, 3.27586464477843, 3.27586464477843, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.2758355684532154, 3.275827778419961, 3.275827778419961, 3.275827778419961, 3.275827778419961, 3.275827778419961, 3.275827778419961, 3.2758273443956973, 3.2758273443956973, 3.275826996187894, 3.275826996187894, 3.275826689078967]"
655,DE,3.275826570958142,3.2758,0.0,0.0,2500,296.697,18.59,0.0,bio_methanol,maneuvering,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.2954380530944976, 3.2954380530944976, 3.2954380530944976, 3.2954380530944976, 3.281633850331385, 3.281633850331385, 3.281633850331385, 3.281633850331385, 3.281633850331385, 3.281633850331385, 3.281633850331385, 3.281633850331385, 3.2815268006172014, 3.278229855443703, 3.278229855443703, 3.27670028506349, 3.276298250632956, 3.276298250632956, 3.276298250632956, 3.275865935079756, 3.275865935079756, 3.275865935079756, 3.275865935079756, 3.275865935079756, 3.275865935079756, 3.275865935079756, 3.275841502927963, 3.275841502927963, 3.275841502927963, 3.275841502927963, 3.2758351760334317, 3.2758351760334317, 3.2758349907088955, 3.2758349907088955, 3.2758326511744884, 3.2758326511744884, 3.2758326511744884, 3.2758290375559005, 3.2758271679750686, 3.2758271679750686, 3.275826570958142, 3.275826570958142, 3.275826570958142, 3.275826570958142, 3.275826570958142, 3.275826570958142, 3.275826570958142, 3.275826570958142, 3.275826570958142, 3.275826570958142]"
692,DE,3.2758266426763383,3.2758,0.0,0.0,2500,294.157,18.59,428.3,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.2809682779403286, 3.2809682779403286, 3.2809682779403286, 3.2809682779403286, 3.2809682779403286, 3.279173738409445, 3.279173738409445, 3.279173738409445, 3.279173738409445, 3.277295201162077, 3.277295201162077, 3.277295201162077, 3.277295201162077, 3.277295201162077, 3.2762622474265735, 3.2762622474265735, 3.2762622474265735, 3.2762622474265735, 3.2759004479648657, 3.2759004479648657, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275833565393181, 3.275827045663812, 3.275827045663812, 3.275827045663812, 3.275827045663812, 3.275827045663812, 3.275827045663812, 3.275827045663812, 3.275826743677742, 3.275826743677742, 3.275826743677742, 3.275826743677742, 3.275826743677742, 3.2758266426763383, 3.2758266426763383, 3.2758266426763383, 3.2758266426763383, 3.2758266426763383, 3.2758266426763383, 3.2758266426763383]"
729,DE,3.2758266490903063,3.2758,0.0,0.0,2500,292.952,18.59,0.0,bio_methanol,transit,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.8284131608459653, 3.490111907422362, 3.306237161589674, 3.2939218352331205, 3.2939218352331205, 3.2939218352331205, 3.2939218352331205, 3.2939218352331205, 3.2885116693570486, 3.2859016379490478, 3.2824883263515376, 3.2792170318133893, 3.2770905652266946, 3.2770905652266946, 3.2770905652266946, 3.2770905652266946, 3.2770905652266946, 3.276027647758382, 3.276027647758382, 3.2758655560574863, 3.2758655560574863, 3.2758655560574863, 3.2758655560574863, 3.2758655560574863, 3.2758655560574863, 3.2758655560574863, 3.2758328779116774, 3.2758328779116774, 3.2758328779116774, 3.2758328779116774, 3.2758328779116774, 3.2758328779116774, 3.2758296953794153, 3.2758296953794153, 3.2758284173014047, 3.2758275589295494, 3.2758275589295494, 3.2758275589295494, 3.2758275589295494, 3.2758275589295494, 3.275827226555997, 3.2758266495242387, 3.2758266495242387, 3.2758266495242387, 3.2758266495242387, 3.2758266495242387, 3.2758266495242387, 3.2758266490903063, 3.2758266490903063, 3.2758266490903063]"
766,DE,3.275826650978221,3.2758,0.0,0.0,2500,293.395,18.59,1000.0,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.8470117720331625, 3.8470117720331625, 3.2911338852736565, 3.2911338852736565, 3.2788080835986713, 3.2788080835986713, 3.2788080835986713, 3.2788080835986713, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.276837172401733, 3.2766719263925483, 3.2759221496443467, 3.2759221496443467, 3.2759221496443467, 3.2759221496443467, 3.2758883223787243, 3.275836961789356, 3.275836961789356, 3.275836961789356, 3.275836961789356, 3.2758340143883795, 3.2758340143883795, 3.275827228628306, 3.275827228628306, 3.275827228628306, 3.275827228628306, 3.275827228628306, 3.275827228628306, 3.275827228628306, 3.275826742974342, 3.275826742974342, 3.275826742974342, 3.275826742974342, 3.275826742974342, 3.275826737710267, 3.27582669571527, 3.27582669571527, 3.27582669571527, 3.275826694815533, 3.275826650978221, 3.275826650978221, 3.275826650978221]"
803,DE,3.275826569056166,3.2758,0.0,0.0,2500,293.608,18.59,1000.0,bio_methanol,maneuvering,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.3832219542092155, 3.3832219542092155, 3.308984105270854, 3.308984105270854, 3.308984105270854, 3.29037682573235, 3.2890339148013163, 3.2890339148013163, 3.2787100281842103, 3.2787100281842103, 3.2787100281842103, 3.276252534253019, 3.276252534253019, 3.276252534253019, 3.276252534253019, 3.276252534253019, 3.276252534253019, 3.2758579956380696, 3.2758579956380696, 3.2758579956380696, 3.2758579956380696, 3.2758579956380696, 3.2758579956380696, 3.2758338535848166, 3.2758338535848166, 3.2758338535848166, 3.2758332324170363, 3.2758332324170363, 3.2758332324170363, 3.275827800871663, 3.275827800871663, 3.275827800871663, 3.275827034310293, 3.2758266787166668, 3.2758266787166668, 3.2758266787166668, 3.2758266787166668, 3.2758266787166668, 3.2758266787166668, 3.275826677573867, 3.275826677573867, 3.275826677573867, 3.275826677573867, 3.2758266614717226, 3.275826654861762, 3.275826654861762, 3.275826654861762, 3.275826654861762, 3.275826569056166, 3.275826569056166]"
