seed,optimizer,physical_objective,penalty_value,total_objective,physical_fraction,penalty_fraction,is_penalty_dominated,is_feasible,domain_status
1025,DE,3.2758,0.0,3.2758265725720803,1.0,0.0,False,True,VALID
1062,DE,3.2758,0.0,3.2758265722237434,1.0,0.0,False,True,VALID
1099,DE,3.2758,0.0,3.275826572569813,1.0,0.0,False,True,VALID
1136,DE,3.2758,0.0,3.275826579784309,1.0,0.0,False,True,VALID
1173,DE,3.2758,0.0,3.275826577235421,1.0,0.0,False,True,VALID
100,GA,3.2758,0.0,3.275836182710528,1.0,0.0,False,True,VALID
137,GA,3.2759,0.0,3.2759439370895227,1.0,0.0,False,True,VALID
174,GA,3.2772,0.0,3.277245612456146,1.0,0.0,False,True,VALID
211,GA,3.276,0.0,3.2759554793823016,1.0,0.0,False,True,VALID
248,GA,3.2762,0.0,3.276189885996027,1.0,0.0,False,True,VALID
285,GA,3.2758,0.0,3.2758385403523658,1.0,0.0,False,True,VALID
322,GA,3.2763,0.0,3.276250464014496,1.0,0.0,False,True,VALID
359,GA,3.2759,0.0,3.275918043690354,1.0,0.0,False,True,VALID
396,GA,3.2763,0.0,3.276278784954492,1.0,0.0,False,True,VALID
433,GA,3.2759,0.0,3.2758947627781687,1.0,0.0,False,True,VALID
470,GA,3.2758,0.0,3.2758431681364533,1.0,0.0,False,True,VALID
507,GA,3.2758,0.0,3.2758268662208345,1.0,0.0,False,True,VALID
544,GA,3.2759,0.0,3.275861888703941,1.0,0.0,False,True,VALID
581,GA,3.2758,0.0,3.275831284249039,1.0,0.0,False,True,VALID
618,GA,3.2758,0.0,3.275835267519528,1.0,0.0,False,True,VALID
655,GA,3.2759,0.0,3.2758626432723554,1.0,0.0,False,True,VALID
692,GA,3.2758,0.0,3.275826703268052,1.0,0.0,False,True,VALID
729,GA,3.2931,0.0,3.293116105894509,1.0,0.0,False,True,VALID
766,GA,3.2761,0.0,3.2760536584984394,1.0,0.0,False,True,VALID
803,GA,3.2758,0.0,3.275840769106227,1.0,0.0,False,True,VALID
840,GA,3.2759,0.0,3.275938589135344,1.0,0.0,False,True,VALID
877,GA,3.276,0.0,3.2760398543546616,1.0,0.0,False,True,VALID
914,GA,3.2762,0.0,3.276232172364617,1.0,0.0,False,True,VALID
951,GA,3.2768,0.0,3.276759582979128,1.0,0.0,False,True,VALID
988,GA,3.276,0.0,3.2759612969006,1.0,0.0,False,True,VALID
1025,GA,3.2775,0.0,3.2775441689122324,1.0,0.0,False,True,VALID
1062,GA,3.2758,0.0,3.27582685774124,1.0,0.0,False,True,VALID
1099,GA,3.2762,0.0,3.276247210450099,1.0,0.0,False,True,VALID
1136,GA,3.2763,0.0,3.276268216456427,1.0,0.0,False,True,VALID
1173,GA,3.2759,0.0,3.27593810884595,1.0,0.0,False,True,VALID
100,PSO,3.2758,0.0,3.2758292106078515,1.0,0.0,False,True,VALID
137,PSO,3.2758,0.0,3.275829683008819,1.0,0.0,False,True,VALID
174,PSO,3.2758,0.0,3.2758267324686856,1.0,0.0,False,True,VALID
211,PSO,3.2758,0.0,3.275830597832621,1.0,0.0,False,True,VALID
