seed,optimizer,best_loss,total_evaluations,runtime_seconds,speed_knots,fuel_type,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,is_feasible,domain_status
692,PSO,115003.27582881054,2500,33.798,18.59,bio_methanol,195.95,210402.47,330.6,False,OUT_OF_DOMAIN
692,GA,115003.27582670326,2500,33.678,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
692,DE,115003.27582664268,2500,34.169,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
692,Random_Search,115003.28096827793,2500,34.063,18.56,bio_methanol,196.26,210732.57,331.12,False,OUT_OF_DOMAIN
729,QPSO,115003.2758267108,2500,33.917,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
729,PSO,115003.27585284346,2500,34.155,18.59,bio_methanol,195.95,210404.01,330.6,False,OUT_OF_DOMAIN
729,GA,115003.2931161059,2500,33.632,18.59,bio_methanol,195.97,213258.35,330.62,False,OUT_OF_DOMAIN
729,DE,115003.27582664909,2500,34.193,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
729,Random_Search,115003.29988349558,2500,34.038,18.45,bio_methanol,197.39,211947.47,333.03,False,OUT_OF_DOMAIN
766,QPSO,115003.27582657649,2500,33.913,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
766,PSO,115003.27583244583,2500,34.488,18.59,bio_methanol,195.95,210402.7,330.6,False,OUT_OF_DOMAIN
766,GA,115003.2760536585,2500,33.653,18.59,bio_methanol,195.96,210416.91,330.62,False,OUT_OF_DOMAIN
766,DE,115003.27582665098,2500,34.742,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
766,Random_Search,115003.27740412034,2500,33.578,18.58,bio_methanol,196.05,210503.65,330.76,False,OUT_OF_DOMAIN
803,QPSO,115003.27582665179,2500,33.846,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
803,PSO,115003.2758285886,2500,33.611,18.59,bio_methanol,195.95,210402.45,330.6,False,OUT_OF_DOMAIN
803,GA,115003.2758407691,2500,34.307,18.59,bio_methanol,195.95,210403.23,330.6,False,OUT_OF_DOMAIN
803,DE,115003.27582656905,2500,34.076,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
803,Random_Search,115003.28054737303,2500,33.729,18.57,bio_methanol,196.23,210705.53,331.08,False,OUT_OF_DOMAIN
840,QPSO,115003.27582773373,2500,34.116,18.59,bio_methanol,195.95,210402.4,330.6,False,OUT_OF_DOMAIN
840,PSO,115003.27583442075,2500,34.363,18.59,bio_methanol,195.95,210402.83,330.6,False,OUT_OF_DOMAIN
840,GA,115003.27593858914,2500,33.949,18.59,bio_methanol,195.96,210409.52,330.61,False,OUT_OF_DOMAIN
840,DE,115003.2758265725,2500,33.703,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
840,Random_Search,115003.27777689979,2500,34.729,18.58,bio_methanol,196.07,210527.59,330.8,False,OUT_OF_DOMAIN
877,QPSO,115003.27582748077,2500,33.98,18.59,bio_methanol,195.95,210402.38,330.6,False,OUT_OF_DOMAIN
877,PSO,115003.27582946362,2500,33.859,18.59,bio_methanol,195.95,210402.51,330.6,False,OUT_OF_DOMAIN
877,GA,115003.27603985436,2500,34.057,18.59,bio_methanol,195.96,210416.02,330.62,False,OUT_OF_DOMAIN
877,DE,115003.27582667807,2500,34.346,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
877,Random_Search,115003.28330979074,2500,34.142,18.55,bio_methanol,196.4,210882.96,331.35,False,OUT_OF_DOMAIN
914,QPSO,115003.27582690805,2500,33.953,18.59,bio_methanol,195.95,210402.34,330.6,False,OUT_OF_DOMAIN
914,PSO,115003.27582690332,2500,33.52,18.59,bio_methanol,195.95,210402.34,330.6,False,OUT_OF_DOMAIN
914,GA,115003.27623217237,2500,33.817,18.59,bio_methanol,195.98,210428.37,330.64,False,OUT_OF_DOMAIN
914,DE,115003.27582656872,2500,34.396,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
914,Random_Search,115003.28159482738,2500,34.106,18.56,bio_methanol,196.3,210772.81,331.18,False,OUT_OF_DOMAIN
951,QPSO,115003.27582702845,2500,34.193,18.59,bio_methanol,195.95,210402.35,330.6,False,OUT_OF_DOMAIN
951,PSO,115003.27582718148,2500,34.439,18.59,bio_methanol,195.95,210402.36,330.6,False,OUT_OF_DOMAIN
951,GA,115003.27675958298,2500,34.51,18.59,bio_methanol,196.01,210462.25,330.69,False,OUT_OF_DOMAIN
951,DE,115003.27582656778,2500,33.782,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
951,Random_Search,115003.29408299415,2500,33.201,18.49,bio_methanol,197.04,211574.91,332.44,False,OUT_OF_DOMAIN
988,QPSO,115003.27582666838,2500,33.738,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
988,PSO,115003.27582776522,2500,33.706,18.59,bio_methanol,195.95,210402.4,330.6,False,OUT_OF_DOMAIN
988,GA,115003.2759612969,2500,34.219,18.59,bio_methanol,195.96,210410.98,330.61,False,OUT_OF_DOMAIN
988,DE,115003.27582674251,2500,33.946,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
988,Random_Search,115003.27874646569,2500,34.652,18.58,bio_methanol,196.13,210589.86,330.89,False,OUT_OF_DOMAIN
1025,QPSO,115003.27582657742,2500,33.89,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
1025,PSO,115003.2758295071,2500,33.914,18.59,bio_methanol,195.95,210402.51,330.6,False,OUT_OF_DOMAIN
1025,GA,115003.27754416893,2500,34.055,18.58,bio_methanol,196.05,210512.64,330.77,False,OUT_OF_DOMAIN
1025,DE,115003.27582657257,2500,33.545,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
1025,Random_Search,115003.27755331252,2500,34.011,18.58,bio_methanol,196.05,210513.23,330.77,False,OUT_OF_DOMAIN
1062,QPSO,115003.27582665146,2500,33.722,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
1062,PSO,115003.27583000559,2500,33.925,18.59,bio_methanol,195.95,210402.54,330.6,False,OUT_OF_DOMAIN
1062,GA,115003.27582685775,2500,34.295,18.59,bio_methanol,195.95,210402.34,330.6,False,OUT_OF_DOMAIN
1062,DE,115003.27582657222,2500,33.892,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
1062,Random_Search,115003.27735431751,2500,34.061,18.58,bio_methanol,196.04,210500.45,330.75,False,OUT_OF_DOMAIN
1099,QPSO,115003.27582664342,2500,34.017,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
1099,PSO,115003.27582718746,2500,33.905,18.59,bio_methanol,195.95,210402.36,330.6,False,OUT_OF_DOMAIN
1099,GA,115003.27624721045,2500,34.319,18.59,bio_methanol,195.98,210429.34,330.64,False,OUT_OF_DOMAIN
1099,DE,115003.27582657257,2500,33.637,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
1099,Random_Search,115003.27681462813,2500,33.505,18.59,bio_methanol,196.01,210465.78,330.7,False,OUT_OF_DOMAIN
1136,QPSO,115003.27582668605,2500,33.743,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
1136,PSO,115003.29287076392,2500,33.938,18.59,bio_methanol,195.95,213242.59,330.6,False,OUT_OF_DOMAIN
1136,GA,115003.27626821646,2500,34.938,18.59,bio_methanol,195.98,210430.69,330.64,False,OUT_OF_DOMAIN
1136,DE,115003.27582657979,2500,34.036,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
1136,Random_Search,115003.2819744994,2500,33.697,18.56,bio_methanol,196.32,210797.2,331.22,False,OUT_OF_DOMAIN
1173,QPSO,115003.27582658063,2500,33.713,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
1173,PSO,115003.2758280759,2500,34.27,18.59,bio_methanol,195.95,210402.42,330.6,False,OUT_OF_DOMAIN
1173,GA,115003.27593810884,2500,34.254,18.59,bio_methanol,195.96,210409.48,330.61,False,OUT_OF_DOMAIN
1173,DE,115003.27582657724,2500,33.754,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
1173,Random_Search,115003.28717003987,2500,33.938,18.53,bio_methanol,196.63,211130.9,331.74,False,OUT_OF_DOMAIN
