optimizer,seed,total_objective,physical_objective,fuel_component,cost_component,ghg_component,delay_component,risk_component,domain_penalty,constraint_penalty,regulatory_penalty,other_penalty,feasible,domain_status,constraint_status
Random_Search,766,115003.27740412,3.27740412,1.1763,1.263022,0.551267,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,803,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,803,115003.27582859,3.27582859,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,803,115003.27584077,3.27584077,1.1757,1.262419,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,803,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,803,115003.28054737,3.28054737,1.17738,1.264233,0.5518,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,840,115003.27582773,3.27582773,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,840,115003.27583442,3.27583442,1.1757,1.262417,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,840,115003.27593859,3.27593859,1.17576,1.262457,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,840,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,840,115003.2777769,3.2777769,1.17642,1.263166,0.551333,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,877,115003.27582748,3.27582748,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,877,115003.27582946,3.27582946,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,877,115003.27603985,3.27603985,1.17576,1.262496,0.551033,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,877,115003.27582668,3.27582668,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,877,115003.28330979,3.28330979,1.1784,1.265298,0.55225,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,914,115003.27582691,3.27582691,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,914,115003.2758269,3.2758269,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,914,115003.27623217,3.27623217,1.17588,1.26257,0.551067,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,914,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,914,115003.28159483,3.28159483,1.1778,1.264637,0.551967,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,951,115003.27582703,3.27582703,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,951,115003.27582718,3.27582718,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,951,115003.27675958,3.27675958,1.17606,1.262774,0.55115,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,951,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,951,115003.29408299,3.29408299,1.18224,1.269449,0.554067,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,988,115003.27582667,3.27582667,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,988,115003.27582777,3.27582777,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,988,115003.2759613,3.2759613,1.17576,1.262466,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,988,115003.27582674,3.27582674,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,988,115003.27874647,3.27874647,1.17678,1.263539,0.551483,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,1025,115003.27582658,3.27582658,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,1025,115003.27582951,3.27582951,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,1025,115003.27754417,3.27754417,1.1763,1.263076,0.551283,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,1025,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,1025,115003.27755331,3.27755331,1.1763,1.263079,0.551283,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,1062,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,1062,115003.27583001,3.27583001,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,1062,115003.27582686,3.27582686,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,1062,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,1062,115003.27735432,3.27735432,1.17624,1.263003,0.55125,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,1099,115003.27582664,3.27582664,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,1099,115003.27582719,3.27582719,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
