optimizer,seed,total_objective,total_penalty,physical_objective,penalty_fraction,physical_fraction,classification,feasibility_tag
PSO,914,115003.2758269,115000.0,3.2758269,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,914,115003.27623217,115000.0,3.27623217,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,914,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,914,115003.28159483,115000.0,3.28159483,0.99997147,2.853e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,951,115003.27582703,115000.0,3.27582703,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,951,115003.27582718,115000.0,3.27582718,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,951,115003.27675958,115000.0,3.27675958,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,951,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,951,115003.29408299,115000.0,3.29408299,0.99997136,2.864e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,988,115003.27582667,115000.0,3.27582667,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,988,115003.27582777,115000.0,3.27582777,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,988,115003.2759613,115000.0,3.2759613,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,988,115003.27582674,115000.0,3.27582674,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,988,115003.27874647,115000.0,3.27874647,0.99997149,2.851e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,1025,115003.27582658,115000.0,3.27582658,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,1025,115003.27582951,115000.0,3.27582951,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,1025,115003.27754417,115000.0,3.27754417,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
DE,1025,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,1025,115003.27755331,115000.0,3.27755331,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,1062,115003.27582665,115000.0,3.27582665,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,1062,115003.27583001,115000.0,3.27583001,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,1062,115003.27582686,115000.0,3.27582686,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,1062,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,1062,115003.27735432,115000.0,3.27735432,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,1099,115003.27582664,115000.0,3.27582664,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,1099,115003.27582719,115000.0,3.27582719,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,1099,115003.27624721,115000.0,3.27624721,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,1099,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,1099,115003.27681463,115000.0,3.27681463,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,1136,115003.27582669,115000.0,3.27582669,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,1136,115003.29287076,115000.0,3.29287076,0.99997137,2.863e-05,PENALTY_DOMINATED,INFEASIBLE
GA,1136,115003.27626822,115000.0,3.27626822,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,1136,115003.27582658,115000.0,3.27582658,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,1136,115003.2819745,115000.0,3.2819745,0.99997146,2.854e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,1173,115003.27582658,115000.0,3.27582658,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,1173,115003.27582808,115000.0,3.27582808,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,1173,115003.27593811,115000.0,3.27593811,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,1173,115003.27582658,115000.0,3.27582658,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,1173,115003.28717004,115000.0,3.28717004,0.99997142,2.858e-05,PENALTY_DOMINATED,INFEASIBLE
