optimizer,seed,speed_knots,fuel_type,total_fuel_tonnes,total_opex_usd,best_loss
Random_Search,507,18.58,bio_methanol,196.12,210581.04,115003.278609045
QPSO,544,18.59,bio_methanol,195.95,210402.33,115003.27582666252
PSO,544,18.59,bio_methanol,195.95,210402.56,115003.2758301996
GA,544,18.59,bio_methanol,195.95,210404.59,115003.27586188872
DE,544,18.59,bio_methanol,195.95,210402.33,115003.2758266624
Random_Search,544,18.56,bio_methanol,196.33,210804.33,115003.2820855279
QPSO,581,18.59,bio_methanol,195.95,210402.33,115003.27582674591
PSO,581,18.59,bio_methanol,195.95,210403.05,115003.27583799032
GA,581,18.59,bio_methanol,195.95,210402.62,115003.27583128423
DE,581,18.59,bio_methanol,195.95,210402.33,115003.27582664644
Random_Search,581,18.57,bio_methanol,196.16,210625.53,115003.27930184908
QPSO,618,18.59,bio_methanol,195.95,210402.33,115003.27582671508
PSO,618,18.59,bio_methanol,195.95,210402.35,115003.27582703128
GA,618,18.59,bio_methanol,195.95,210402.88,115003.27583526752
DE,618,18.59,bio_methanol,195.95,210402.33,115003.27582668907
Random_Search,618,18.51,bio_methanol,196.77,211279.64,115003.2894858122
QPSO,655,18.59,bio_methanol,195.95,210402.36,115003.27582721128
PSO,655,18.59,bio_methanol,195.95,210402.4,115003.27582779712
GA,655,18.59,bio_methanol,195.95,210404.64,115003.27586264316
DE,655,18.59,bio_methanol,195.95,210402.32,115003.27582657096
Random_Search,655,18.48,bio_methanol,197.12,211661.94,115003.2954380531
QPSO,692,18.59,bio_methanol,195.95,210402.33,115003.2758266616
PSO,692,18.59,bio_methanol,195.95,210402.47,115003.27582881054
GA,692,18.59,bio_methanol,195.95,210402.33,115003.27582670326
DE,692,18.59,bio_methanol,195.95,210402.33,115003.27582664268
Random_Search,692,18.56,bio_methanol,196.26,210732.57,115003.28096827792
QPSO,729,18.59,bio_methanol,195.95,210402.33,115003.2758267108
PSO,729,18.59,bio_methanol,195.95,210404.01,115003.27585284346
