algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
Classical_GA,1021,0.0,False,101000.0,100000.0,200.0,250000.0,750.0,10.0,0,0,2455,0,,,,0.497,2500
Classical_GA,1022,1.0,False,375.7793,368.62,401.78,434779.95,605.91,0.08,676,0,2455,0,,,,1.115,2500
Classical_GA,1023,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2450,0,,,,0.59,2500
Classical_GA,1024,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,5,0,2452,0,,,,0.478,2500
Classical_GA,1025,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2458,0,,,,0.465,2500
Classical_GA,1026,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2455,0,,,,0.524,2500
Classical_GA,1027,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,9,0,2461,0,,,,0.679,2500
Classical_GA,1028,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,24,0,2454,0,,,,0.545,2500
Classical_GA,1029,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2457,0,,,,0.561,2500
Classical_GA,1030,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2456,0,,,,0.54,2500
NSGA_III,1001,1.0,False,55401.0223,55396.47,212.92,240544.89,632.85,26.84,3,0,2499,0,,,,0.553,2500
NSGA_III,1002,1.0,True,4.9003,0.0,241.34,245218.39,710.01,0.0,1911,1076,2494,5,241.22,245218.39,680.59,1.748,2500
NSGA_III,1003,1.0,True,4.8262,0.0,245.02,250580.26,640.42,0.0,1857,1680,2500,3,241.27,245122.4,611.12,1.615,2500
NSGA_III,1004,1.0,True,4.8266,0.0,245.2,250753.97,641.06,0.0,1994,1681,2496,3,241.44,245311.96,610.42,1.854,2500
NSGA_III,1005,1.0,False,1677.8769,1670.97,379.6,406811.74,650.76,0.63,463,0,2491,0,,,,0.834,2500
NSGA_III,1006,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2496,0,,,,0.501,2500
NSGA_III,1007,1.0,True,4.3316,0.0,212.02,211109.38,673.77,0.0,1913,960,2495,9,208.39,205778.69,632.19,2.098,2500
NSGA_III,1008,1.0,True,4.0027,0.0,177.48,173772.93,728.8,0.0,2060,1762,2498,8,177.48,173772.52,613.44,2.228,2500
NSGA_III,1009,1.0,True,4.2904,0.0,206.45,208589.3,651.0,0.0,1934,1645,2499,7,202.95,203404.05,610.56,1.973,2500
NSGA_III,1010,1.0,True,4.8797,0.0,250.02,256483.37,662.33,0.0,1998,1635,2498,3,246.24,250994.93,631.71,1.992,2500
