evaluation,fitness,physical_fitness,penalty,is_feasible,assigned_demands,speed_decisions,fuel_decisions,hard_violations
21,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 14.2, 'CPS_Triton': 17.08, 'OSS_Ceto': 12.63}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small; OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-A assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
22,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 17.07, 'CPS_Triton': 16.69, 'OSS_Ceto': 7.04}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-A assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
23,451000.0,1000.0,450000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 11.04, 'CPS_Triton': 12.92, 'OSS_Ceto': 6.3}","{'CPS_Poseidon': 'green_ammonia', 'CPS_Triton': 'fossil_lng', 'OSS_Ceto': 'liquid_hydrogen'}","CPS_Poseidon: Incompatible fuel green_ammonia for Crown Princess Poseidon (authorized: ['vlsfo', 'fossil_lng', 'bio_methanol']); CPS_Triton: Incompatible fuel fossil_lng for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel liquid_hydrogen for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-A assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
24,101000.0,1000.0,100000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 12.33, 'CPS_Triton': 17.01, 'OSS_Ceto': 12.45}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small"
25,601000.0,1000.0,600000.0,False,"{'CPS_Poseidon': 'DEMAND-C', 'CPS_Triton': 'DEMAND-C', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 19.44, 'CPS_Triton': 14.85, 'OSS_Ceto': 9.25}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'liquid_hydrogen'}","CPS_Poseidon: Incompatible assignment: Demand DEMAND-C requires offshore deck cargo capability, not supported by Crown Princess Poseidon; CPS_Triton: Cargo demand (3200.0 t) exceeds Coastal Princess Triton deadweight capacity (1800.0 t); OSS_Ceto: Incompatible fuel liquid_hydrogen for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-A is unfulfilled.; Mandatory demand DEMAND-B is unfulfilled.; Duplicate demand DEMAND-C assigned to 3 vessels (must be exactly 1)."
26,601000.0,1000.0,600000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 14.71, 'CPS_Triton': 9.13, 'OSS_Ceto': 9.16}","{'CPS_Poseidon': 'green_ammonia', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","CPS_Poseidon: Incompatible fuel green_ammonia for Crown Princess Poseidon (authorized: ['vlsfo', 'fossil_lng', 'bio_methanol']); CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small; OSS_Ceto: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Ocean Supply Ship Ceto is offshore_supply; Duplicate demand DEMAND-A assigned to 3 vessels (must be exactly 1).; Mandatory demand DEMAND-B is unfulfilled.; Mandatory demand DEMAND-C is unfulfilled."
27,201000.0,1000.0,200000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 18.3, 'CPS_Triton': 9.38, 'OSS_Ceto': 7.2}","{'CPS_Poseidon': 'liquid_hydrogen', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","CPS_Poseidon: Incompatible fuel liquid_hydrogen for Crown Princess Poseidon (authorized: ['vlsfo', 'fossil_lng', 'bio_methanol']); CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small"
28,251000.0,1000.0,250000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 10.76, 'CPS_Triton': 12.09, 'OSS_Ceto': 9.81}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'fossil_lng', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible fuel fossil_lng for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-C is unfulfilled."
29,451000.0,1000.0,450000.0,False,"{'CPS_Poseidon': 'DEMAND-C', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 9.14, 'CPS_Triton': 6.66, 'OSS_Ceto': 5.39}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'fossil_lng'}","CPS_Poseidon: Incompatible assignment: Demand DEMAND-C requires offshore deck cargo capability, not supported by Crown Princess Poseidon; CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small; OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-A assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-B is unfulfilled."
30,101000.0,1000.0,100000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 12.15, 'CPS_Triton': 16.46, 'OSS_Ceto': 8.03}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'fossil_lng', 'OSS_Ceto': 'green_ammonia'}","CPS_Triton: Incompatible fuel fossil_lng for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol'])"
