model,seed,vessel,split,R2,MAE,RMSE,MAPE,sMAPE,Median_AE,P95_error,max_error,bias,training_time,inference_latency,memory_mb,physical_violations
P0 (Physics Only),1013,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1014,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1015,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1016,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1017,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1018,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1019,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1020,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1021,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1022,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1023,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
