optimizer,seed,term_fuel_weighted_norm,term_cost_weighted_norm,term_ghg_weighted_norm,term_delay_weighted_norm,term_risk_weighted_norm,penalty_value,calculated_objective,reported_objective,reconstruction_absolute_error
GA,1099,1.3718599999999999,1.26257604,0.5510666666666666,0.0,0.09076666666666668,0.0,3.276269373333333,3.276247210450099,2.2162883233978192e-05
GA,1136,1.3718599999999999,1.26258414,0.5510666666666666,0.0,0.09076666666666668,0.0,3.2762774733333333,3.276268216456427,9.256876906338363e-06
GA,1173,1.3717199999999998,1.26245688,0.5510166666666667,0.0,0.09076666666666668,0.0,3.275960213333333,3.27593810884595,2.2104487383156624e-05
PSO,100,1.3716499999999998,1.2624149399999998,0.551,0.0,0.09076666666666668,0.0,3.2758316066666664,3.2758292106078515,2.3960588149130047e-06
PSO,137,1.3716499999999998,1.2624151199999998,0.551,0.0,0.09076666666666668,0.0,3.2758317866666666,3.275829683008819,2.1036578474742385e-06
PSO,174,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758267324686856,3.914197980847689e-06
PSO,211,1.3716499999999998,1.26241548,0.551,0.0,0.09076666666666668,0.0,3.2758321466666667,3.275830597832621,1.548834045461689e-06
PSO,248,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758266409069576,4.005759708824996e-06
PSO,285,1.3716499999999998,1.2794560200000002,0.551,0.0,0.09076666666666668,0.0,3.292872686666667,3.292871961112825,7.255538418959873e-07
PSO,322,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.275826821561296,3.885105370748931e-06
PSO,359,1.3716499999999998,1.2624160799999997,0.551,0.0,0.09076666666666668,0.0,3.275832746666666,3.2758322018628254,5.448038407074307e-07
PSO,396,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.275826836275358,3.8703913083359964e-06
PSO,433,1.3716499999999998,1.2624141599999998,0.551,0.0,0.09076666666666668,0.0,3.2758308266666663,3.275827222710906,3.603955760045352e-06
PSO,470,1.3716499999999998,1.26241746,0.551,0.0,0.09076666666666668,0.0,3.2758341266666666,3.2758357053572027,1.5786905360748449e-06
PSO,507,1.3716499999999998,1.27945446,0.551,0.0,0.09076666666666668,0.0,3.292871126666667,3.292867887296432,3.239370234719985e-06
PSO,544,1.3716499999999998,1.2624153599999999,0.551,0.0,0.09076666666666668,0.0,3.2758320266666665,3.275830199603789,1.8270628774352815e-06
PSO,581,1.3716499999999998,1.2624183,0.551,0.0,0.09076666666666668,0.0,3.275834966666667,3.2758379903263366,3.023659669754153e-06
PSO,618,1.3716499999999998,1.2624141000000002,0.551,0.0,0.09076666666666668,0.0,3.2758307666666666,3.2758270312713296,3.7353953370455883e-06
PSO,655,1.3716499999999998,1.2624144,0.551,0.0,0.09076666666666668,0.0,3.2758310666666666,3.275827797124309,3.269542357742239e-06
PSO,692,1.3716499999999998,1.26241482,0.551,0.0,0.09076666666666668,0.0,3.2758314866666667,3.2758288105459408,2.676120725908504e-06
PSO,729,1.3716499999999998,1.26242406,0.551,0.0,0.09076666666666668,0.0,3.2758407266666665,3.2758528434593184,1.2116792651895025e-05
PSO,766,1.3716499999999998,1.2624162,0.551,0.0,0.09076666666666668,0.0,3.2758328666666667,3.2758324458238097,4.2084285700738633e-07
PSO,803,1.3716499999999998,1.2624147,0.551,0.0,0.09076666666666668,0.0,3.2758313666666665,3.275828588600656,2.7780660105669597e-06
PSO,840,1.3716499999999998,1.26241698,0.551,0.0,0.09076666666666668,0.0,3.275833646666667,3.275834420753532,7.740868652739152e-07
PSO,877,1.3716499999999998,1.2624150600000001,0.551,0.0,0.09076666666666668,0.0,3.275831726666667,3.275829463609534,2.2630571328008386e-06
PSO,914,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.275826903326113,3.8033405536097575e-06
PSO,951,1.3716499999999998,1.2624141599999998,0.551,0.0,0.09076666666666668,0.0,3.2758308266666663,3.275827181486857,3.645179809108612e-06
PSO,988,1.3716499999999998,1.2624144,0.551,0.0,0.09076666666666668,0.0,3.2758310666666666,3.2758277652182097,3.3014484568383295e-06
PSO,1025,1.3716499999999998,1.2624150600000001,0.551,0.0,0.09076666666666668,0.0,3.275831726666667,3.2758295070947616,2.219571905381912e-06
PSO,1062,1.3716499999999998,1.2624152400000002,0.551,0.0,0.09076666666666668,0.0,3.275831906666667,3.2758300055800795,1.901086587263734e-06
PSO,1099,1.3716499999999998,1.2624141599999998,0.551,0.0,0.09076666666666668,0.0,3.2758308266666663,3.2758271874623395,3.6392043267774454e-06
