comparison,seed,qpso_value,competitor_value,difference,absolute_difference,sign
QPSO_vs_GA,840,3.275827733721683,3.275938589135344,-0.00011085541366107066,0.00011085541366107066,-1
QPSO_vs_GA,877,3.275827480768545,3.2760398543546616,-0.00021237358611658763,0.00021237358611658763,-1
QPSO_vs_GA,914,3.275826908053799,3.276232172364617,-0.0004052643108178877,0.0004052643108178877,-1
QPSO_vs_GA,951,3.2758270284557502,3.276759582979128,-0.0009325545233775934,0.0009325545233775934,-1
QPSO_vs_GA,988,3.275826668386259,3.2759612969006,-0.00013462851434065115,0.00013462851434065115,-1
QPSO_vs_GA,1025,3.2758265774229294,3.2775441689122324,-0.0017175914893030608,0.0017175914893030608,-1
QPSO_vs_GA,1062,3.275826651463265,3.27582685774124,-2.0627797514549684e-07,2.0627797514549684e-07,-1
QPSO_vs_GA,1099,3.275826643422303,3.276247210450099,-0.00042056702779591504,0.00042056702779591504,-1
QPSO_vs_GA,1136,3.2758266860543963,3.276268216456427,-0.0004415304020306543,0.0004415304020306543,-1
QPSO_vs_GA,1173,3.275826580629264,3.27593810884595,-0.00011152821668591884,0.00011152821668591884,-1
QPSO_vs_Random_Search,100,3.27582720249914,3.2794678074985675,-0.0036406049994273104,0.0036406049994273104,-1
QPSO_vs_Random_Search,137,3.275826734858464,3.278623431845878,-0.0027966969874135827,0.0027966969874135827,-1
QPSO_vs_Random_Search,174,3.2758266503978297,3.278095351224211,-0.002268700826381309,0.002268700826381309,-1
QPSO_vs_Random_Search,211,3.2758265733124685,3.278873841690002,-0.003047268377533552,0.003047268377533552,-1
QPSO_vs_Random_Search,248,3.275826656176162,3.2866721732455475,-0.010845517069385302,0.010845517069385302,-1
QPSO_vs_Random_Search,285,3.2758270688365423,3.2768302846550794,-0.0010032158185371287,0.0010032158185371287,-1
QPSO_vs_Random_Search,322,3.275828127585896,3.2778901098201945,-0.002061982234298654,0.002061982234298654,-1
QPSO_vs_Random_Search,359,3.275827591332604,3.2823260147706605,-0.006498423438056733,0.006498423438056733,-1
QPSO_vs_Random_Search,396,3.275826650970945,3.281867406531297,-0.006040755560352107,0.006040755560352107,-1
QPSO_vs_Random_Search,433,3.275826702216777,3.2792015621499906,-0.0033748599332135143,0.0033748599332135143,-1
QPSO_vs_Random_Search,470,3.27582657649923,3.303698664208228,-0.027872087708998183,0.027872087708998183,-1
QPSO_vs_Random_Search,507,3.2758266555915823,3.278609044995535,-0.002782389403952923,0.002782389403952923,-1
QPSO_vs_Random_Search,544,3.2758266625319576,3.2820855279052563,-0.006258865373298672,0.006258865373298672,-1
QPSO_vs_Random_Search,581,3.27582674591329,3.279301849078493,-0.003475103165202942,0.003475103165202942,-1
QPSO_vs_Random_Search,618,3.275826715076561,3.2894858121968342,-0.013659097120273245,0.013659097120273245,-1
QPSO_vs_Random_Search,655,3.275827211283357,3.2954380530944976,-0.019610841811140478,0.019610841811140478,-1
QPSO_vs_Random_Search,692,3.275826661604789,3.2809682779403286,-0.005141616335539556,0.005141616335539556,-1
QPSO_vs_Random_Search,729,3.275826710801633,3.2998834955782805,-0.024056784776647522,0.024056784776647522,-1
QPSO_vs_Random_Search,766,3.275826576485903,3.27740412033399,-0.0015775438480871706,0.0015775438480871706,-1
QPSO_vs_Random_Search,803,3.275826651794343,3.280547373025743,-0.004720721231400216,0.004720721231400216,-1
QPSO_vs_Random_Search,840,3.275827733721683,3.2777768997962355,-0.001949166074552533,0.001949166074552533,-1
QPSO_vs_Random_Search,877,3.275827480768545,3.283309790744292,-0.007482309975746837,0.007482309975746837,-1
QPSO_vs_Random_Search,914,3.275826908053799,3.281594827376962,-0.005767919323163007,0.005767919323163007,-1
QPSO_vs_Random_Search,951,3.2758270284557502,3.294082994148145,-0.01825596569239485,0.01825596569239485,-1
QPSO_vs_Random_Search,988,3.275826668386259,3.27874646568461,-0.0029197972983507903,0.0029197972983507903,-1
QPSO_vs_Random_Search,1025,3.2758265774229294,3.2775533125219214,-0.001726735098992016,0.001726735098992016,-1
QPSO_vs_Random_Search,1062,3.275826651463265,3.277354317515698,-0.001527666052433041,0.001527666052433041,-1
